0.030116	2.5034800000000003e-05	
10	0.031886	2.5565800000000002e-05	
11	0.033593	2.6077900000000003e-05	
12	0.035241	2.6572300000000003e-05	
13	0.036836	2.7050800000000002e-05	
14	0.03838	2.7514e-05	
15	0.03988	2.7964000000000005e-05	
16	0.041338	2.8401400000000002e-05	
17	0.042756	2.8826800000000003e-05	
18	0.044139	2.92417e-05	
19	0.045488	2.96464e-05	
20	0.046805	3.00415e-05	
21	0.048093	3.04279e-05	
22	0.049353	3.08059e-05	
23	0.050587	3.11761e-05	
24	0.051798	3.15394e-05	
25	0.052987	3.18961e-05	
26	0.054153	3.22459e-05	
27	0.055299	3.2589700000000004e-05	
28	
